@relation temp-relation-weka.filters.unsupervised.attribute.AddID-Cfirst-NID

@attribute ID numeric
@attribute n-grams/CharacterNGramMeasure_2 numeric
@attribute n-grams/CharacterNGramMeasure_3 numeric
@attribute n-grams/CharacterNGramMeasure_4 numeric
@attribute n-grams/WordNGramContainmentMeasure_1_stopword-filtered numeric
@attribute n-grams/WordNGramContainmentMeasure_2_stopword-filtered numeric
@attribute n-grams/WordNGramJaccardMeasure_1 numeric
@attribute n-grams/WordNGramJaccardMeasure_2_stopword-filtered numeric
@attribute n-grams/WordNGramJaccardMeasure_3 numeric
@attribute n-grams/WordNGramJaccardMeasure_4 numeric
@attribute n-grams/WordNGramJaccardMeasure_4_stopword-filtered numeric
@attribute string/GreedyStringTiling_3 numeric
@attribute string/LongestCommonSubsequenceComparator numeric
@attribute string/LongestCommonSubsequenceNormComparator numeric
@attribute string/LongestCommonSubstringComparator numeric
@attribute string/SWO numeric
@attribute gold numeric

@data
19,0.478737,0.450221,0.410932,0.666667,0.363636,0.4,0.181818,0.090909,0,0,0.6,0.535948,0.6,0.261438,0.583572,3.2
20,0.682169,0.760965,0.769457,0.882353,0.588235,0.714286,0.4,0.32,0.24,0.24,0.849462,0.743169,0.741935,0.535519,0.807419,5
21,0.682305,0.652895,0.619117,0.714286,0.428571,0.454545,0.230769,0.111111,0.076923,0.076923,0.740385,0.647887,0.673077,0.328638,0.637804,4.4
22,0.338904,0.29385,0.278598,0.461538,0.230769,0.285714,0.130435,0.043478,0,0,0.477612,0.548148,0.552239,0.251852,0.530877,3.6
23,0.30202,0.270772,0.254463,0.461538,0.230769,0.315789,0.130435,0.090909,0.047619,0.047619,0.558824,0.591549,0.617647,0.267606,0.533186,3.6
24,0.085045,0.092263,0.091528,0.5,0.25,0.285714,0.121212,0.060606,0,0,0.44086,0.605405,0.612903,0.151351,0.531062,0.8
25,0.296634,0.241404,0.203066,0.384615,0.166667,0.277778,0.105263,0,0,0,0.410256,0.582677,0.474359,0.173228,0.643289,1.4
26,0.823939,0.833827,0.819743,0.888889,0.857143,0.615385,0.6,0.533333,0.466667,0.466667,0.970588,0.876254,0.970588,0.414716,0.734361,3.2
27,0.599274,0.539494,0.485184,0.777778,0.470588,0.482759,0.235294,0.176471,0.117647,0.117647,0.873874,0.692308,0.891892,0.293706,0.609232,3.8
28,0.746814,0.553532,0.456795,0.526316,0.277778,0.384615,0.166667,0.1,0.068966,0.068966,0.62931,0.581498,0.568966,0.30837,0.565207,4.2
29,0.537864,0.657209,0.646501,0.782609,0.625,0.666667,0.454545,0.352941,0.294118,0.294118,0.859504,0.857143,0.867769,0.408163,0.899725,3
30,0.592954,0.628787,0.60913,0.52,0.275862,0.448276,0.205128,0.175,0.153846,0.153846,0.567901,0.621723,0.54321,0.464419,0.59811,3.6
31,0.445206,0.430011,0.414488,0.733333,0.357143,0.478261,0.185185,0.071429,0,0,0.8125,0.655556,0.7375,0.255556,0.7702,3
32,0.663639,0.524656,0.451404,0.52381,0.333333,0.407407,0.235294,0.176471,0.117647,0.117647,0.516667,0.650485,0.558333,0.242718,0.61335,3
33,0.64888,0.610925,0.528922,0.5,0.263158,0.384615,0.172414,0.103448,0.071429,0.071429,0.557377,0.577778,0.532787,0.248889,0.619579,3
34,0.767364,0.783274,0.717688,0.863636,0.5,0.791667,0.34375,0.242424,0.147059,0.147059,0.826389,0.503597,0.493056,0.251799,0.890535,4.8
35,0.35612,0.25939,0.282019,0.647059,0.444444,0.366667,0.216216,0.131579,0.078947,0.078947,0.786517,0.652174,0.842697,0.304348,0.759099,2.5
36,0.391751,0.374327,0.299985,0.5,0.222222,0.263158,0.1,0,0,0,0.490909,0.539683,0.618182,0.190476,0.533269,2.25
37,0.416393,0.405524,0.345347,0.642857,0.285714,0.375,0.137931,0.068966,0,0,0.632911,0.677596,0.78481,0.20765,0.509518,3.5
38,0.334465,0.380221,0.388332,0.583333,0.363636,0.368421,0.190476,0.095238,0,0,0.642857,0.529412,0.660714,0.279412,0.526296,3.5
39,0.776687,0.758281,0.720787,0.866667,0.625,0.722222,0.4,0.32,0.291667,0.291667,0.814286,0.683871,0.757143,0.670968,0.617191,3
40,0.494688,0.352781,0.262681,0.666667,0.266667,0.384615,0.121212,0.060606,0.03125,0.03125,0.73494,0.549223,0.650602,0.196891,0.521353,3
41,0.562724,0.542953,0.460579,0.8,0.357143,0.571429,0.192308,0.074074,0.038462,0.038462,0.806452,0.662069,0.790323,0.289655,0.626853,3.667
42,0.24462,0.265717,0.26361,0.4,0.2,0.275862,0.121212,0.060606,0.03125,0.03125,0.333333,0.469484,0.414634,0.178404,0.577396,1.667
43,0.793643,0.643942,0.578355,0.714286,0.4,0.46875,0.2,0.15,0.128205,0.128205,0.75,0.638554,0.757143,0.39759,0.62268,3.6
44,0.344703,0.391466,0.380379,0.583333,0.307692,0.451613,0.2,0.121951,0.047619,0.047619,0.664286,0.619718,0.635714,0.140845,0.697127,3.8
45,0.663922,0.597154,0.538611,0.588235,0.315789,0.454545,0.206897,0.137931,0.107143,0.107143,0.590476,0.734043,0.657143,0.319149,0.72123,3.4
46,0.426928,0.372829,0.304895,0.631579,0.210526,0.444444,0.117647,0.028571,0,0,0.545455,0.538813,0.545455,0.136986,0.662223,3.4
47,0.797173,0.794937,0.812103,0.75,0.615385,0.75,0.571429,0.555556,0.538462,0.538462,0.668966,0.803279,0.675862,0.795082,0.760183,3.8
48,0.506029,0.451371,0.420254,0.647059,0.3125,0.407407,0.151515,0.125,0.096774,0.096774,0.669725,0.648,0.752294,0.392,0.58639,2.8
49,0.789299,0.816967,0.789533,0.727273,0.625,0.695652,0.555556,0.481481,0.461538,0.461538,0.715278,0.679537,0.611111,0.671815,0.783405,3.75
50,0.780914,0.743836,0.682396,0.774194,0.606061,0.648649,0.444444,0.340426,0.270833,0.270833,0.827381,0.851964,0.839286,0.356495,0.782334,4.4
51,0.837589,0.679526,0.526164,0.722222,0.380952,0.65,0.266667,0.090909,0.030303,0.030303,0.675676,0.606965,0.54955,0.208955,0.793496,3.75
52,0.633391,0.695958,0.67944,0.88,0.571429,0.6875,0.380952,0.212766,0.122449,0.122449,0.871795,0.855967,0.888889,0.230453,0.974831,2.75
53,0.838409,0.761892,0.721556,0.730769,0.607143,0.730769,0.566667,0.5,0.433333,0.433333,0.613793,0.765957,0.62069,0.638298,0.729419,3.75
54,0.492287,0.354405,0.310513,0.5625,0.176471,0.333333,0.090909,0.0625,0.032258,0.032258,0.581395,0.572917,0.639535,0.1875,0.555098,2.25
55,0.617394,0.544844,0.546376,0.5,0.315789,0.37037,0.206897,0.064516,0,0,0.632,0.759825,0.696,0.244541,0.58836,3.8
56,0.4029,0.429308,0.396516,0.555556,0.277778,0.4,0.16129,0.0625,0.032258,0.032258,0.53211,0.567308,0.541284,0.192308,0.571906,3.2
57,0.408762,0.347162,0.272745,0.6,0.294118,0.310345,0.142857,0.085714,0.028571,0.028571,0.666667,0.514019,0.679012,0.158879,0.612867,3.8
58,0.350213,0.363793,0.340844,0.541667,0.25,0.342105,0.133333,0.065217,0.044444,0.044444,0.555556,0.584127,0.607843,0.222222,0.551605,4.8
59,0.547808,0.550919,0.553246,0.5,0.428571,0.393939,0.324324,0.27027,0.216216,0.216216,0.551282,0.725979,0.660256,0.405694,0.647602,4
60,0.446927,0.433215,0.424923,0.541667,0.333333,0.325,0.177778,0.108696,0.042553,0.042553,0.590604,0.595238,0.677852,0.202381,0.601714,1.4
61,0.526276,0.527074,0.457473,0.625,0.384615,0.428571,0.232558,0.108696,0.065217,0.065217,0.751553,0.586826,0.614907,0.161677,0.731258,4.2
62,0.753202,0.638476,0.580502,0.722222,0.473684,0.5,0.28125,0.258065,0.233333,0.233333,0.692982,0.709677,0.780702,0.314516,0.674794,1.8
63,0.710979,0.690818,0.71541,0.75,0.56,0.6,0.4,0.305556,0.216216,0.216216,0.784314,0.793651,0.823529,0.330159,0.791811,4.2
64,0.313703,0.294179,0.302599,0.6,0.363636,0.315789,0.166667,0.130435,0.090909,0.090909,0.671642,0.60241,0.761194,0.361446,0.466744,2
65,0.484101,0.430006,0.365425,0.5,0.318182,0.366667,0.2,0.176471,0.151515,0.151515,0.371901,0.548077,0.479339,0.317308,0.521094,2.6
66,0.912057,0.858435,0.837622,0.833333,0.75,0.681818,0.576923,0.56,0.541667,0.541667,0.886076,0.819277,0.860759,0.807229,0.871913,3.25
67,0.76581,0.613034,0.553931,0.857143,0.5,0.666667,0.30303,0.171429,0.114286,0.114286,0.872727,0.769231,0.863636,0.202429,0.796865,5
68,0.502526,0.478248,0.41938,0.583333,0.307692,0.482759,0.216216,0.102564,0.051282,0.051282,0.637168,0.545455,0.477876,0.232323,0.823122,3
69,0.653778,0.672024,0.671643,0.666667,0.555556,0.571429,0.416667,0.361111,0.305556,0.305556,0.681564,0.728916,0.692737,0.560241,0.743112,3.75
70,0.764355,0.734983,0.684026,0.782609,0.521739,0.6,0.307692,0.25641,0.205128,0.205128,0.822695,0.737864,0.808511,0.355987,0.722378,4.25
71,0.608146,0.635036,0.640123,0.826087,0.478261,0.678571,0.305556,0.153846,0.075,0.075,0.852713,0.555985,0.565891,0.239382,0.84119,4.75
72,0.436383,0.371959,0.31993,0.714286,0.357143,0.434783,0.172414,0.103448,0.071429,0.071429,0.707317,0.512315,0.646341,0.344828,0.497031,3.25
73,0.539896,0.386683,0.31216,0.642857,0.357143,0.428571,0.2,0.137255,0.076923,0.076923,0.587413,0.586751,0.65035,0.113565,0.507724,3.75
74,0.401723,0.446862,0.45006,0.692308,0.333333,0.428571,0.16,0.08,0,0,0.8125,0.7125,0.90625,0.325,0.613774,3.25
75,0.529197,0.503906,0.532834,0.666667,0.4,0.454545,0.222222,0.148148,0.074074,0.074074,0.654762,0.708571,0.738095,0.297143,0.576059,3.8
76,0.836388,0.70781,0.649543,0.733333,0.428571,0.578947,0.272727,0.083333,0,0,0.777778,0.716981,0.716049,0.289308,0.666773,5
77,0.647134,0.732512,0.727321,0.8,0.653846,0.666667,0.485714,0.388889,0.297297,0.297297,0.798817,0.609467,0.615385,0.360947,0.751847,3.6
78,0.432963,0.423517,0.407578,0.666667,0.428571,0.434783,0.222222,0.148148,0.074074,0.074074,0.609756,0.610169,0.670732,0.327684,0.563557,3.8
79,0.358979,0.441016,0.385217,0.454545,0.1,0.333333,0.055556,0,0,0,0.661017,0.609375,0.661017,0.21875,0.705471,2
80,0.572917,0.576385,0.541603,0.722222,0.611111,0.52,0.423077,0.346154,0.269231,0.269231,0.634409,0.662921,0.634409,0.404494,0.698828,3.4
81,0.81217,0.755352,0.689107,0.821429,0.548387,0.793103,0.435897,0.227273,0.130435,0.130435,0.72449,0.77551,0.678571,0.198251,0.830962,4.2
82,0.50576,0.593017,0.637376,0.538462,0.464286,0.4375,0.361111,0.342857,0.323529,0.323529,0.590361,0.619048,0.554217,0.612245,0.663738,3.4
83,0.579903,0.553818,0.500541,0.636364,0.272727,0.368421,0.130435,0.090909,0.047619,0.047619,0.698113,0.575758,0.716981,0.424242,0.569117,3
84,0.474372,0.453717,0.387524,0.571429,0.266667,0.421053,0.16,0.08,0.041667,0.041667,0.567901,0.641509,0.62963,0.188679,0.503044,3
85,0.824273,0.794691,0.777027,1,0.842105,0.730769,0.533333,0.466667,0.4,0.4,0.978723,0.775,0.989362,0.65,0.805876,3.25
86,0.403403,0.397552,0.395181,0.611111,0.166667,0.44,0.09375,0,0,0,0.612069,0.577586,0.577586,0.172414,0.604784,2.75
87,0.204196,0.351095,0.381953,0.75,0.363636,0.529412,0.190476,0.045455,0,0,0.786885,0.681818,0.737705,0.227273,0.803807,2.6
88,0.485369,0.330117,0.242655,0.647059,0.117647,0.55,0.071429,0.037037,0,0,0.518868,0.547368,0.490566,0.126316,0.60786,3.4
89,0.364098,0.506338,0.53139,0.555556,0.275862,0.405405,0.170213,0.104167,0.0625,0.0625,0.654088,0.693069,0.660377,0.211221,0.750511,3.6
90,0.640968,0.568027,0.53612,0.8,0.5625,0.521739,0.28125,0.181818,0.121212,0.121212,0.72619,0.650718,0.821429,0.334928,0.589964,3.6
91,0.777861,0.705376,0.651877,0.863636,0.695652,0.703704,0.470588,0.333333,0.243243,0.243243,0.851563,0.798535,0.859375,0.322344,0.820426,4.8
92,0.629763,0.555088,0.512566,0.62963,0.37931,0.459459,0.23913,0.122449,0.081633,0.081633,0.688623,0.672673,0.670659,0.294294,0.688531,4
93,0.518967,0.419911,0.43224,0.642857,0.428571,0.45,0.26087,0.173913,0.136364,0.136364,0.755814,0.802326,0.802326,0.430233,0.71981,3.6
94,0.685938,0.557066,0.477234,0.652174,0.4,0.428571,0.232558,0.108696,0.065217,0.065217,0.692308,0.612245,0.627219,0.19242,0.777911,3.4
95,0.35482,0.335034,0.286866,0.636364,0.1,0.4375,0.047619,0,0,0,0.54717,0.521739,0.566038,0.173913,0.595694,2.4
96,0.829869,0.750909,0.752688,0.789474,0.5,0.681818,0.322581,0.21875,0.15625,0.15625,0.704348,0.609865,0.652174,0.304933,0.567268,4.222
97,0.584818,0.552526,0.528642,0.666667,0.5,0.454545,0.304348,0.272727,0.238095,0.238095,0.697368,0.698795,0.763158,0.566265,0.466161,3
98,0.582962,0.509388,0.447073,0.722222,0.4,0.481481,0.228571,0.205882,0.181818,0.181818,0.686275,0.610619,0.686275,0.415929,0.451732,3
99,0.524343,0.593233,0.564767,0.555556,0.3,0.454545,0.222222,0.103448,0.071429,0.071429,0.682243,0.810256,0.738318,0.235897,0.72202,2.75
100,0.886654,0.745996,0.678125,0.909091,0.666667,0.714286,0.421053,0.3,0.25,0.25,0.894366,0.789809,0.873239,0.426752,0.825303,4
101,0.263302,0.309646,0.308135,0.5,0.2,0.3125,0.111111,0.058824,0,0,0.517857,0.573643,0.660714,0.325581,0.583089,1.75
102,0.466747,0.398121,0.374693,0.458333,0.208333,0.34375,0.135135,0.052632,0,0,0.5,0.5625,0.5,0.210938,0.627101,1.75
103,0.524179,0.442324,0.337115,0.5,0.125,0.4,0.08,0,0,0,0.513514,0.590909,0.527027,0.19697,0.658299,4.5
104,0.519767,0.465969,0.391471,0.538462,0.3,0.411765,0.195652,0.12766,0.085106,0.085106,0.551724,0.625407,0.563218,0.254072,0.636254,3.25
105,0.898626,0.850277,0.775475,0.818182,0.666667,0.72,0.533333,0.419355,0.3125,0.3125,0.841667,0.852321,0.841667,0.312236,0.768324,5
106,0.564322,0.59503,0.585441,0.55,0.35,0.458333,0.259259,0.185185,0.153846,0.153846,0.552239,0.63964,0.529851,0.432432,0.639107,3
107,0.73772,0.576021,0.466804,0.526316,0.277778,0.384615,0.166667,0.1,0.033333,0.033333,0.577586,0.61157,0.637931,0.214876,0.663296,2.8
108,0.592785,0.61385,0.594077,0.714286,0.538462,0.454545,0.291667,0.26087,0.227273,0.227273,0.847222,0.692308,0.875,0.571429,0.667979,2.667
109,0.512269,0.411336,0.334572,0.545455,0.2,0.413793,0.128205,0.05,0.025641,0.025641,0.567376,0.605578,0.546099,0.183267,0.68528,4
110,0.884429,0.783166,0.739143,0.875,0.55,0.583333,0.305556,0.236842,0.15,0.15,0.880734,0.844828,0.899083,0.387931,0.72051,4.4
111,0.78408,0.698725,0.649126,0.916667,0.518519,0.733333,0.325581,0.122449,0.06,0.06,0.940789,0.748503,0.828947,0.263473,0.803509,4.25
112,0.672964,0.511089,0.410878,0.666667,0.368421,0.48,0.21875,0.121212,0.09375,0.09375,0.652174,0.536842,0.554348,0.294737,0.68924,4.176
113,0.558547,0.444309,0.420766,0.533333,0.285714,0.380952,0.166667,0.130435,0.090909,0.090909,0.552083,0.508287,0.479167,0.364641,0.647261,3
114,0.394138,0.322236,0.290355,0.636364,0.181818,0.35,0.076923,0.038462,0,0,0.553846,0.5,0.569231,0.202703,0.542519,2.5
115,0.461014,0.42011,0.388117,0.481481,0.230769,0.361111,0.142857,0.045455,0.023256,0.023256,0.534591,0.565657,0.566038,0.141414,0.590694,3.8
116,0.707955,0.643741,0.582295,0.666667,0.545455,0.5,0.352941,0.235294,0.1875,0.1875,0.786885,0.84375,0.885246,0.484375,0.761834,4.6
117,0.849577,0.723974,0.684633,0.708333,0.615385,0.548387,0.432432,0.333333,0.282051,0.282051,0.814815,0.822695,0.859259,0.64539,0.809458,1.4
118,0.517063,0.424698,0.348481,0.615385,0.1875,0.4,0.1,0,0,0,0.62,0.561224,0.56,0.142857,0.604093,2.8
119,0.53086,0.477604,0.396847,0.615385,0.384615,0.347826,0.2,0.166667,0.130435,0.130435,0.607595,0.641711,0.759494,0.395722,0.527961,2.8
120,0.626047,0.57821,0.488699,0.545455,0.2,0.428571,0.125,0.066667,0,0,0.569231,0.695652,0.615385,0.452174,0.676009,4.2
121,0.061169,0.141522,0.146302,0.5,0.166667,0.391304,0.103448,0.034483,0,0,0.452381,0.496732,0.452381,0.183007,0.639944,1
122,0.769691,0.723555,0.674547,0.777778,0.631579,0.636364,0.461538,0.384615,0.36,0.36,0.785714,0.763158,0.785714,0.587719,0.82592,4.2
123,0.345884,0.266707,0.246907,0.4,0.066667,0.3,0.041667,0,0,0,0.45,0.525547,0.45,0.175182,0.525957,2.75
124,0.499087,0.437235,0.39671,0.5,0.083333,0.375,0.05,0,0,0,0.559322,0.457627,0.457627,0.237288,0.652233,2.5
125,0.481701,0.501216,0.497662,0.529412,0.352941,0.391304,0.222222,0.142857,0.111111,0.111111,0.673469,0.683168,0.704082,0.435644,0.661319,3.5
126,0.525416,0.424966,0.361107,0.466667,0.214286,0.368421,0.130435,0.090909,0.047619,0.047619,0.623188,0.617647,0.623188,0.264706,0.70551,4.75
127,0.514792,0.563377,0.597369,0.8,0.666667,0.533333,0.411765,0.393939,0.375,0.375,0.833333,0.764045,0.894737,0.636704,0.799672,3
128,0.544644,0.663507,0.606596,0.529412,0.222222,0.391304,0.137931,0.107143,0.074074,0.074074,0.73494,0.505882,0.518072,0.223529,0.684469,3.5
129,0.727446,0.700463,0.669058,0.695652,0.458333,0.551724,0.314286,0.189189,0.105263,0.105263,0.835526,0.867797,0.848684,0.318644,0.685209,4
130,0.225192,0.188925,0.142089,0.5,0.176471,0.347826,0.107143,0.035714,0,0,0.482759,0.6,0.551724,0.1625,0.499747,2
131,0.838323,0.772905,0.708445,0.592593,0.413793,0.5,0.324324,0.230769,0.179487,0.179487,0.611765,0.758865,0.635294,0.432624,0.648632,3.2
132,0.687112,0.635591,0.572103,0.619048,0.285714,0.52,0.1875,0.125,0.096774,0.096774,0.683333,0.660714,0.625,0.446429,0.854273,3.6
133,0.549228,0.590009,0.562927,0.75,0.368421,0.535714,0.205882,0.147059,0.088235,0.088235,0.787879,0.702899,0.75,0.282609,0.787456,3.8
134,0.905399,0.885891,0.880128,0.92,0.814815,0.851852,0.6875,0.575758,0.470588,0.470588,0.922619,0.706587,0.708333,0.491018,0.941569,5
135,0.684017,0.469021,0.406425,0.6875,0.411765,0.423077,0.225806,0.15625,0.09375,0.09375,0.692308,0.663507,0.769231,0.303318,0.5669,4
136,0.512816,0.412709,0.337837,0.583333,0.181818,0.466667,0.111111,0.058824,0,0,0.538462,0.431034,0.384615,0.362069,0.553447,3
137,0.622855,0.497757,0.430052,0.611111,0.391304,0.478261,0.290323,0.1875,0.090909,0.090909,0.527132,0.703863,0.651163,0.300429,0.72116,2.5
138,0.61837,0.61367,0.60751,0.548387,0.382353,0.5,0.295455,0.222222,0.152174,0.152174,0.494318,0.669091,0.522727,0.298182,0.592226,3
139,0.584145,0.619616,0.632405,0.8125,0.647059,0.65,0.458333,0.375,0.291667,0.291667,0.804348,0.726368,0.793478,0.527363,0.72239,4
140,0.371517,0.441051,0.460204,0.76,0.56,0.558824,0.358974,0.243902,0.195122,0.195122,0.840708,0.852321,0.893805,0.28692,0.857687,2
141,0.420541,0.440192,0.431504,0.473684,0.263158,0.36,0.178571,0.107143,0.035714,0.035714,0.46729,0.552083,0.504673,0.270833,0.625127,3
142,0.615263,0.413808,0.35461,0.466667,0.133333,0.35,0.083333,0,0,0,0.511905,0.496894,0.47619,0.173913,0.596007,2.625
143,0.633045,0.499878,0.46216,0.481481,0.3,0.333333,0.183673,0.12,0.08,0.08,0.615819,0.623145,0.59887,0.183976,0.642897,3.2
144,0.729324,0.724359,0.633519,0.692308,0.538462,0.5,0.35,0.238095,0.162791,0.162791,0.813333,0.809969,0.866667,0.35514,0.889049,4
145,0.68116,0.544414,0.504252,0.619048,0.478261,0.419355,0.314286,0.257143,0.235294,0.235294,0.677419,0.742188,0.774194,0.484375,0.578056,3.2
146,0.590977,0.482875,0.459042,0.45,0.263158,0.310345,0.16129,0.096774,0.066667,0.066667,0.455285,0.589372,0.495935,0.347826,0.517172,2.4
147,0.732417,0.658079,0.622317,0.85,0.5,0.586207,0.285714,0.209302,0.136364,0.136364,0.85906,0.76875,0.832215,0.31875,0.826042,4.4
148,0.690469,0.520862,0.391234,0.714286,0.45,0.441176,0.230769,0.121951,0.073171,0.073171,0.741176,0.590308,0.788235,0.176211,0.724159,3.6
149,0.473556,0.465932,0.461436,0.72,0.518519,0.545455,0.333333,0.173913,0.106383,0.106383,0.736,0.793249,0.752,0.194093,0.77819,2.4
150,0.63176,0.643063,0.570701,0.6,0.4,0.48,0.266667,0.2,0.172414,0.172414,0.681416,0.718182,0.716814,0.5,0.787624,3.6
151,0.875206,0.716626,0.634891,0.928571,0.6,0.764706,0.409091,0.26087,0.173913,0.173913,0.869048,0.783626,0.797619,0.397661,0.84708,4.6
152,0.65714,0.601693,0.595087,0.62963,0.333333,0.548387,0.238095,0.162791,0.090909,0.090909,0.624242,0.657627,0.587879,0.250847,0.745868,4.4
153,0.858587,0.817521,0.764603,0.8,0.607143,0.740741,0.459459,0.368421,0.282051,0.282051,0.760274,0.66171,0.609589,0.408922,0.827777,4.4
154,0.934403,0.924407,0.91877,0.96,0.769231,0.888889,0.606061,0.5,0.4,0.4,0.965986,0.607843,0.632653,0.464052,0.869074,4.6
155,0.747406,0.642117,0.579898,0.692308,0.37037,0.642857,0.277778,0.157895,0.135135,0.135135,0.655172,0.63745,0.551724,0.374502,0.797013,4.4
156,0.407387,0.417854,0.424857,0.470588,0.352941,0.333333,0.24,0.208333,0.173913,0.173913,0.5,0.630542,0.570175,0.502463,0.559098,2.6
157,0.626402,0.507103,0.483637,0.6,0.357143,0.428571,0.217391,0.130435,0.043478,0.043478,0.653333,0.57931,0.56,0.303448,0.468727,3.6
158,0.504805,0.590567,0.503438,0.571429,0.333333,0.444444,0.227273,0.130435,0.043478,0.043478,0.525641,0.647482,0.576923,0.244604,0.658624,4.2
159,0.634125,0.485479,0.422505,0.578947,0.47619,0.423077,0.30303,0.242424,0.181818,0.181818,0.583333,0.60262,0.657407,0.227074,0.645274,3.2
160,0.33607,0.2691,0.177322,0.470588,0.176471,0.347826,0.103448,0.071429,0.037037,0.037037,0.578125,0.520548,0.59375,0.205479,0.519903,2
161,0.743098,0.699077,0.679392,0.631579,0.526316,0.6,0.454545,0.363636,0.333333,0.333333,0.62766,0.782051,0.648936,0.666667,0.66929,2.8
162,0.567858,0.558402,0.532937,0.6,0.464286,0.441176,0.309524,0.292683,0.275,0.275,0.627451,0.702703,0.679739,0.52027,0.603577,1.6
163,0.397136,0.453045,0.399047,0.5,0.35,0.409091,0.25,0.178571,0.107143,0.107143,0.526786,0.684492,0.571429,0.235294,0.51378,3.4
164,0.570024,0.506551,0.509084,0.652174,0.52,0.46875,0.325,0.275,0.225,0.225,0.670968,0.737864,0.735484,0.343042,0.791485,4
165,0.600401,0.579872,0.571016,0.529412,0.4375,0.375,0.291667,0.26087,0.227273,0.227273,0.5,0.670455,0.6,0.556818,0.468147,2.6
166,0.574982,0.494835,0.466679,0.576923,0.333333,0.428571,0.217391,0.125,0.083333,0.083333,0.647059,0.672727,0.658824,0.2,0.66566,2.8
167,0.39998,0.304617,0.264676,0.6875,0.333333,0.458333,0.1875,0.125,0.0625,0.0625,0.584906,0.587678,0.584906,0.274882,0.656456,3
